更新时间: 2025-11-30 16:56:52（北京时间）

更新时间,#genre#
2025-11-30 16:56:52,http://live.njgdmm.com/changzhi/cztv1.m3u8$长治综合#http://live.njgdmm.com/changzhi/cztv2.m3u8$长治公共#http://live.njgdmm.com/changzhi/czetv.m3u8$长治教育#https://f3jok3az.live.sxmty.com/live/hls/ebaa2bf2e7f94dc79d4e642ac76d2415/0d97361a940348729fbd0ee3f4eb9e47.m3u8$屯留电视台#http://zhibo.czmarathon.net/cdd/TVLive.m3u8?auth_key=1724143889-0-0-929d4ecd8b7700822ec202b14ebc6c3c$上党TV#https://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8$壶关电视台#http://60.220.198.84:81/0.m3u8$武乡电视台#http://player4.juyun.tv:80/tv/149466149.m3u8$平顺电视台#http://jwcdnqx.hebyun.com.cn/live/SXTV1/1500k/tzwj_video.m3u8$涉县综合#http://live.jinnews.com.cn/xwzh/sd/live.m3u8$晋城综合#http://live.jinnews.com.cn/xwzh/sd/live.m3u8?zshanxd$晋城综合#http://live.jinnews.com.cn/ggpd/sd/live.m3u8$晋城文化#http://live.jinnews.com.cn/ggpd/sd/live.m3u8?zshanxd$晋城文化

央视频道,#genre#
CCTV1,http://60.223.72.146:8004/rtp/226.0.2.18:8056$山西联通
CCTV1,http://223.198.242.106:4000/rtp/239.253.64.120:5140$海南电信
CCTV1,http://223.198.242.106:4000/rtp/239.253.64.12:5140$海南电信
CCTV1,http://60.223.72.117:8001/rtp/226.0.2.18:8056$山西联通
CCTV1,http://183.191.151.201:8005/rtp/226.0.2.18:8056$山西联通
CCTV1,http://60.216.164.56:6688/rtp/239.21.1.120:5002$山东电信
CCTV1,http://60.216.164.56:6688/rtp/239.21.1.1:5002$山东电信
CCTV1,http://60.223.72.146:8001/rtp/226.0.2.18:8056$山西联通
CCTV1,http://117.81.217.185:5555/rtp/239.49.1.1:6000$江苏电信
CCTV1,http://106.116.241.95:9999/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://42.179.211.253:8888/rtp/232.0.0.27:1234$辽宁联通
CCTV1,http://183.191.151.201:8001/rtp/226.0.2.18:8056$山西联通
CCTV2,http://60.223.72.146:8004/rtp/226.0.2.19:8064$山西联通
CCTV2,http://223.198.242.106:4000/rtp/239.253.64.195:5140$海南电信
CCTV2,http://223.198.242.106:4000/rtp/239.253.64.13:5140$海南电信
CCTV2,http://60.223.72.117:8001/rtp/226.0.2.19:8064$山西联通
CCTV2,http://183.191.151.201:8005/rtp/226.0.2.19:8064$山西联通
CCTV2,http://60.216.164.56:6688/rtp/239.21.1.151:5002$山东电信
CCTV2,http://60.216.164.56:6688/rtp/239.21.1.2:5002$山东电信
CCTV2,http://60.223.72.146:8001/rtp/226.0.2.19:8064$山西联通
CCTV2,http://117.81.217.185:5555/rtp/239.49.1.2:6000$江苏电信
CCTV2,http://106.116.241.95:9999/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://42.179.211.253:8888/rtp/232.0.0.135:1234$辽宁联通
CCTV2,http://183.191.151.201:8001/rtp/226.0.2.19:8064$山西联通
CCTV3,http://60.223.72.146:8004/rtp/226.0.2.20:8072$山西联通
CCTV3,http://223.198.242.106:4000/rtp/239.253.64.244:5140$海南电信
CCTV3,http://60.223.72.117:8001/rtp/226.0.2.20:8072$山西联通
CCTV3,http://183.191.151.201:8005/rtp/226.0.2.20:8072$山西联通
CCTV3,http://60.216.164.56:6688/rtp/239.21.2.45:5002$山东电信
CCTV3,http://60.216.164.56:6688/rtp/239.21.1.3:5002$山东电信
CCTV3,http://60.223.72.146:8001/rtp/226.0.2.20:8072$山西联通
CCTV3,http://117.81.217.185:5555/rtp/239.49.1.3:6000$江苏电信
CCTV3,http://106.116.241.95:9999/rtp/239.254.200.13:6000$河北省电信
CCTV3,http://42.179.211.253:8888/rtp/232.0.0.170:1234$辽宁联通
CCTV3,http://183.191.151.201:8001/rtp/226.0.2.20:8072$山西联通
CCTV4,http://60.223.72.146:8004/rtp/226.0.2.21:8080$山西联通
CCTV4,http://223.198.242.106:4000/rtp/239.253.64.196:5140$海南电信
CCTV4,http://223.198.242.106:4000/rtp/239.253.64.15:5140$海南电信
CCTV4,http://60.223.72.117:8001/rtp/226.0.2.21:8080$山西联通
CCTV4,http://183.191.151.201:8005/rtp/226.0.2.21:8080$山西联通
CCTV4,http://60.216.164.56:6688/rtp/239.21.1.154:5002$山东电信
CCTV4,http://60.216.164.56:6688/rtp/239.21.1.4:5002$山东电信
CCTV4,http://60.223.72.146:8001/rtp/226.0.2.21:8080$山西联通
CCTV4,http://117.81.217.185:5555/rtp/239.49.1.4:6000$江苏电信
CCTV4,http://106.116.241.95:9999/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://183.191.151.201:8001/rtp/226.0.2.21:8080$山西联通
CCTV4欧洲,http://60.216.164.56:6688/rtp/239.21.2.28:5002$山东电信
CCTV4欧洲,http://42.179.211.253:8888/rtp/232.0.0.53:1234$辽宁联通
CCTV4美洲,http://42.179.211.253:8888/rtp/232.0.0.59:1234$辽宁联通
CCTV5,http://60.223.72.146:8004/rtp/226.0.2.22:8088$山西联通
CCTV5,http://223.198.242.106:4000/rtp/239.253.64.245:5140$海南电信
CCTV5,http://60.223.72.117:8001/rtp/226.0.2.22:8088$山西联通
CCTV5,http://183.191.151.201:8005/rtp/226.0.2.22:8088$山西联通
CCTV5,http://60.216.164.56:6688/rtp/239.21.2.46:5002$山东电信
CCTV5,http://60.216.164.56:6688/rtp/239.21.1.5:5002$山东电信
CCTV5,http://60.223.72.146:8001/rtp/226.0.2.22:8088$山西联通
CCTV5,http://117.81.217.185:5555/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://106.116.241.95:9999/rtp/239.254.200.14:6000$河北省电信
CCTV5,http://42.179.211.253:8888/rtp/232.0.0.171:1234$辽宁联通
CCTV5,http://183.191.151.201:8001/rtp/226.0.2.22:8088$山西联通
CCTV5+,http://223.198.242.106:4000/rtp/239.253.64.100:5140$海南电信
CCTV5+,http://60.216.164.56:6688/rtp/239.21.1.142:5002$山东电信
CCTV6,http://60.223.72.146:8004/rtp/226.0.2.23:8096$山西联通
CCTV6,http://223.198.242.106:4000/rtp/239.253.64.246:5140$海南电信
CCTV6,http://60.223.72.117:8001/rtp/226.0.2.23:8096$山西联通
CCTV6,http://183.191.151.201:8005/rtp/226.0.2.23:8096$山西联通
CCTV6,http://60.216.164.56:6688/rtp/239.21.2.47:5002$山东电信
CCTV6,http://60.216.164.56:6688/rtp/239.21.1.6:5002$山东电信
CCTV6,http://60.223.72.146:8001/rtp/226.0.2.23:8096$山西联通
CCTV6,http://117.81.217.185:5555/rtp/239.49.1.6:6000$江苏电信
CCTV6,http://106.116.241.95:9999/rtp/239.254.200.15:6000$河北省电信
CCTV6,http://42.179.211.253:8888/rtp/232.0.0.172:1234$辽宁联通
CCTV6,http://183.191.151.201:8001/rtp/226.0.2.23:8096$山西联通
CCTV7,http://60.223.72.146:8004/rtp/226.0.2.24:8104$山西联通
CCTV7,http://223.198.242.106:4000/rtp/239.253.64.54:5140$海南电信
CCTV7,http://223.198.242.106:4000/rtp/239.253.64.16:5140$海南电信
CCTV7,http://60.223.72.117:8001/rtp/226.0.2.24:8104$山西联通
CCTV7,http://183.191.151.201:8005/rtp/226.0.2.24:8104$山西联通
CCTV7,http://60.216.164.56:6688/rtp/239.21.1.152:5002$山东电信
CCTV7,http://60.216.164.56:6688/rtp/239.21.1.7:5002$山东电信
CCTV7,http://60.223.72.146:8001/rtp/226.0.2.24:8104$山西联通
CCTV7,http://117.81.217.185:5555/rtp/239.49.1.254:6000$江苏电信
CCTV7,http://106.116.241.95:9999/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://42.179.211.253:8888/rtp/232.0.0.136:1234$辽宁联通
CCTV7,http://113.25.107.142:10000/rtp/239.1.1.14:8014$山西电信
CCTV7,http://183.191.151.201:8001/rtp/226.0.2.24:8104$山西联通
CCTV8,http://60.223.72.146:8004/rtp/226.0.2.25:8112$山西联通
CCTV8,http://223.198.242.106:4000/rtp/239.253.64.247:5140$海南电信
CCTV8,http://60.223.72.117:8001/rtp/226.0.2.25:8112$山西联通
CCTV8,http://183.191.151.201:8005/rtp/226.0.2.25:8112$山西联通
CCTV8,http://60.216.164.56:6688/rtp/239.21.2.48:5002$山东电信
CCTV8,http://60.216.164.56:6688/rtp/239.21.1.8:5002$山东电信
CCTV8,http://60.223.72.146:8001/rtp/226.0.2.25:8112$山西联通
CCTV8,http://117.81.217.185:5555/rtp/239.49.1.8:6000$江苏电信
CCTV8,http://106.116.241.95:9999/rtp/239.254.200.16:6000$河北省电信
CCTV8,http://42.179.211.253:8888/rtp/232.0.0.173:1234$辽宁联通
CCTV8,http://183.191.151.201:8001/rtp/226.0.2.25:8112$山西联通
CCTV9,http://60.223.72.146:8004/rtp/226.0.2.26:8120$山西联通
CCTV9,http://223.198.242.106:4000/rtp/239.253.64.76:5140$海南电信
CCTV9,http://223.198.242.106:4000/rtp/239.253.64.242:5140$海南电信
CCTV9,http://60.223.72.117:8001/rtp/226.0.2.26:8120$山西联通
CCTV9,http://183.191.151.201:8005/rtp/226.0.2.26:8120$山西联通
CCTV9,http://60.216.164.56:6688/rtp/239.21.1.153:5002$山东电信
CCTV9,http://60.216.164.56:6688/rtp/239.21.1.9:5002$山东电信
CCTV9,http://60.223.72.146:8001/rtp/226.0.2.26:8120$山西联通
CCTV9,http://106.116.241.95:9999/rtp/239.254.200.59:8112$河北省电信
CCTV9,http://42.179.211.253:8888/rtp/232.0.0.137:1234$辽宁联通
CCTV9,http://183.191.151.201:8001/rtp/226.0.2.26:8120$山西联通
CCTV10,http://60.223.72.146:8004/rtp/226.0.2.27:8128$山西联通
CCTV10,http://223.198.242.106:4000/rtp/239.253.64.87:5140$海南电信
CCTV10,http://223.198.242.106:4000/rtp/239.253.64.18:5140$海南电信
CCTV10,http://60.223.72.117:8001/rtp/226.0.2.27:8128$山西联通
CCTV10,http://183.191.151.201:8005/rtp/226.0.2.27:8128$山西联通
CCTV10,http://60.216.164.56:6688/rtp/239.21.1.155:5002$山东电信
CCTV10,http://60.216.164.56:6688/rtp/239.21.1.11:5002$山东电信
CCTV10,http://60.223.72.146:8001/rtp/226.0.2.27:8128$山西联通
CCTV10,http://117.81.217.185:5555/rtp/239.49.1.10:6000$江苏电信
